,Name,style,IBU,ABV,Description
537,Divine Reserve No. 14,Saint Arnold Brewing Company,30,10.0,"The goal of this beer was to make a Belgian/American hybrid using west coast American hops and rye to emulate the fruit and spices often found in Belgian beers. The beer pours a bright golden color. The nose is a mixture of phenolics from the Belgian wit yeast and light citrus from the American hops with a touch of graininess. Rye adds sweetness and complexity to the pilsner and aromatic malts. The spice of the rye is somewhat subdued at lower temperatures but becomes more apparent as the beer warms. Cascade and centennial hops were used for both flavor and aroma, adding floral and citrus notes to play off the strengths of the yeast. Belgian candi sugar was added during fermentation to bump up the alcohol while allowing the beer to avoid finishing too sweet. The dry finish hides the 10% alcohol nicely and makes you want to take another sip. This beer is best enjoyed at 50°F to 55°F. Read Less"
538,Damnation,Russian River Brewing Company,29,7.5,Belgian Strong
539,Sun Hands Belgian Summer Golden,Haw River Farmhouse Ales,48,10.0,Belgian Strong
540,BJ's 21st Annual Grand Cru,BJ's Restaurant & Brewhouse,11,10.0,Belgian Strong
542,Brah'klava,Haw River Farmhouse Ales,16,11.1,Belgian Strong
544,Class Of '88 Belgian Style Ale,Goose Island Beer Co.,7,11.2,"The Class of ‘88 Belgian Style Ale was brewed in collaboration with Deschutes Brewery to celebrate both of our silver anniversary this year. Our Class of ‘88 beer is brewed with whole flower Mt Hood hops, which were first introduced in 1988, then transferred to Muscat casks and aged with Michigan Riesling Grape juice and Oregon Pinot Noir grape must. The result is a golden belgian strong ale with a pleasant aroma of semi-sweet Riesling grapes and fresh green hops, complemented by a touch of tartness that is quickly cut by a bright, dry finish reminiscent of a refreshing white wine. Read Less"
547,Mélange a Trois,Nebraska Brewing Company,31,11.3,Belgian Strong
548,Barrel Aged Requited,Batch Brewing Company,38,15.4,Belgian Strong
552,16th Anniversary Ale,Two Brothers Brewing Company,34,16.0,Brewed for 16th anniversary pa
554,No Sparge Imperial Golden,Taxman Brewing Company,32,12.0,Belgian Strong
556,Bourbon Barrel Aged Barmy Ale,Ballast Point Brewing Company,25,13.5,Elijah Craig aged Golden Strong Ale with apricot
557,Bon Vivant,Breakside Brewery,25,8.4,Belgian Strong
559,Bourbon Barrel InvEster,Taxman Brewing Company,13,9.0,Belgian Strong
564,Saint Toddy,Funky Buddha Brewery,30,11.0,Bel
566,Pirogue Belgian Black Tripel Brewed with Coffee aged in Bourbon Barrels,Warped Wing Brewery,24,10.0,Bel
567,Curieux,Allagash Brewing Company,27,10.2,Bel
568,Rêve,Red Rock Brewing Co.,38,10.3,Bel
569,Batch 1000 Lemon Ice Tripel,Griffin Claw Brewing Company,20,17.1,Bel
572,Grand Cru,Peticolas Brewing Company,25,12.0,Bel
573,Cerberus (Bourbon Barrel Aged),Thirsty Dog Brewing Company,31,12.0,Bel
574,Barrel-Aged Tripel Dog Dare,Great Lakes Brewing Company,30,9.5,Bel
575,Tripel Treat,Adelbert's Brewery,24,11.7,Bel
576,Tripel Whiskey,Wolf's Ridge Brewing,30,9.0,We aged our Belgian Tripel in Watershed Bourbon barrels for 14 months! Sweet honey notes blend wonderfully with rich oak a
589,Barrel & Bean,Allagash Brewing Company,18,9.6,Bel
590,Devil's Share (Mysterium Verum),Real Ale Brewing Company,36,8.1,"Base beer — Devil’s Backbone Barrels — medium toast plus American oak red wine. Maturation — 6-12 months Tasting Notes — Caramel, vanill"
593,The Tide and Its Takers,Anchorage Brewing Company,30,9.0,Bel
597,Saint Dymphna,Lakewood Brewing Co.,34,8.6,"The sixth release in our limited Legendary Series pays homage to the patron saint of Geel, Belgium, who devoted her life to helping the mentally ill. This classic Belgian-Style Tripel incorporates a touch of linden flowers, adding a subtle bouquet to the complex flavor. It’s strong yet light and full of conviction, like the fair Saint Dymphna. Read Less"
599,A Lost Epic,Peticolas Brewing Company,25,11.0,Bel
600,Mezcal Barrel Exemption,Taxman Brewing Company,30,9.0,Bel
602,Torn Paper Leaves (White Oak & Red Grape),Haw River Farmhouse Ales,38,9.2,NC malt tripel aged in red wine oak barrels with bre
603,Goldenbear Tripel,Väsen Brewing Company,23,10.2,Bel
604,Final Absolution,Dragonmead Brewery,30,10.0,Bel
605,Insidious Monk,Gnarly Barley Brewing,25,8.5,Bel
608,Seme Della Vita,Monkish Brewing Co.,35,9.8,Belgian-ish Tripel with pistachios and van
609,Marvella,Red Rock Brewing Co.,18,11.0,Bel
611,Monk's Indiscretion,Sound Brewery,24,10.0,"Dry hopped, and fermented with an aromatic Belgian yeast strain, Monk's Indiscretion has an intense tropical hoppy aroma and flavor, with balanced bitterness, and is scarily drinkable for such a strong beer. Read Less"
614,BGH10,Transmitter Brewing,10,7.2,Bière de Champagne /
624,Nash Year's Eve (2017),Center Ice Brewery,17,12.1,"This champagne-inspired Imperial Blonde Ale is brewed in honor of Steve's first-born son, Nash, who was born on New Year's Eve. It was re-fermented with champagne yeast and conditioned on 38.5 pounds of white grape puree for over a month to achieve that perfect juicy tang flavor. Read Less"
625,Lucada,Hanging Hills Brewing Co,7,5.3,Lucada - n. (lu-cah-duh) a conjunction of Joe's daughter name (Ada) and her best friend's (Luca). See also a sparkling Brut Rosé Style Ale w/Hibiscus and Pomegranate. Read Less
626,Brut Force,Ahnapee Brewery,14,13.5,Aroma is filled with notes of dried dark fruit and warming alcohol. Apricot and date fruit notes continue mid-palette with a refreshing amount of carbonation. Finish is dry with lingering fruit notes. Read Less
627,Royalty,Taxman Brewing Company,35,11.0,"Indulge in Royalty a luxurious Belgian-inspired golden ale, fermented with champagne yeast. Boutique European hops and Champagne yeast present refreshing aromas of grape must and tropical fruits, released by playful bubbles from bottle conditioning. Read Less"
628,Saison Champenoise,Second Self Beer Company,18,6.0,Classic Saison finished in the style o
632,Jubilee,Victory Brewing Company,20,12.0,Bière de Champagne /
635,Rhinaldo,Lost Rhino Brewing Company,28,7.2,Bière de Champagne /
638,TailGate/Black Abbey Collaby,The Black Abbey Brewing Company,47,8.0,"We drank some espresso, we ate some soup, we made this be"
639,Black & Blue Brut Ale,Slate Farm Brewery,17,11.5,Bière de Champagne /
641,Low Hanging Fruit,Hanging Hills Brewing Co,7,5.0,"Collaboration with New England Cider Company, we took 200+ gallons of fresh squeezed empire apple juice from Blue Hills Orchards in Wallingford and blended with a sour wheat ale, ""brut-ed"" and dry hopped in the fermenter to create a lively, unique drinking experience. It will be hated on on Untappd. Read Less"
642,Zut Alors,Two Brothers Brewing Company,24,6.0,Bière de Champagne /
646,Chardonnale,Ghostfish Brewing Company,25,4.0,"This boundary-pushing beer defies all traditional style categories! Brewed with honey and agave nectar, it almost matches a white wine in its pale color. Hopped with massive amounts of German Hallertauer Blanc hops, as well as Citra, Santiam, and Lemondrop, it has a complex white wine aroma, with notes of gooseberry, melon, and white grape... but make no mistake, there are no grapes used in this beer! Read Less"
651,Brutal Summer,Fetching Lab Brewery,70,5.8,"This Brut IPA is for the hop heads! Super dry and light bodied, all you get are hops! If you enjoy west coast style IPA’s, or Brut IPAs, this beer is for you! Read Less"
655,Belle,Devil's Canyon Brewing Co.,10,6.0,"Belle, a Champagne style Sparkling Ale, is a true feast for your senses with its rich, straw-like appearance and aromatic, fruity nose. This celebratory beer has a crisp, sweet flavor with a strong, dry, effervescent finish. Read Less"
656,Freckled Rooster,Finnegans Brew Co.,18,5.8,Bière de Champagne /
657,Samuel Adams Sparkling Ale,Boston Beer Company,20,4.8,Bière de Champagne /
658,Yin & Yang,Evil Twin Brewing,100,10.0,"This is a complete RTD Black and Tan. Not just any Black and Tan but the one where we flawlessly mixed a flippant good Imperial IPA with a profoundly evil Imperial Stout and sustained sweet beer balance.

33% Stout and 67% India Pale Al"
659,Black & Tan,Breakside Brewery,19,8.4,"Our take on this age-old idea veers into some uncharted territory by using BOURBON BARREL-AGED STOUT as the ‘black’ component. The ‘tan’ is made from young golden beer and some Bourbon barrel-aged Scottish ale. The 40/60 blend of aged and young beer pops with flavor, yet manages to stay easy drinking"
661,When Krakens Attack,Tackle Box Brewing Company,45,8.5,What do you get when you blend our ultra popular Money Lure Blueberry Ale and our Baltic Sea Monster? A beer that will sink
662,Black & Tan (Coalminer's Stout & Vanilla Cream Ale),Blackhorse Brewery,33,5.5,A blend between our Coalminer's Stout and Vanilla
665,Black & Tan,McClellan's Brewing Company,35,6.0,A blend of our Irish Ale and our oatmeal porter that beautifully highlights the roasted coffee and caramel notes of each beer. Kind of like drinking a mocha but a lot more fun
670,Joe & Dan's Black & Tan,Oakbrook Brewing Company,48,7.0,Oakbrook's Blend of Double Pale Ale & American Stout yields a deceptively easy drinking treat with notes of caramel candy and bittersweet chocolate
672,JP-8,Folklore Brewing & Meadery,50,7.5,A blend of our Shadowcaster Porter and Snipe Hunt IPA fermented together to create a rich malt-chocolate 
674,Shabadoo Black and Tan Ale,Berkshire Brewing Company (B.B.C.),27,6.3,"A decision for the indecisive, “Shabadoo” is a delicate blend of
our Hoosac Tunnel Amber Ale and Drayman’s Porter.
Showcasing elements of each, this full-bodied dark brew
combines the caramel malt and hop profile of an Amber with
the chocolate and mocha notes of the Porter, making for a
sublime concoction with broad appeal"
675,Bodacious Black and Tan,Hoppin' Frog Brewery,65,7.8,"IPA and Stout converge for a really great flavor combination! The assertive, hoppy character of our Hoppin' To Heaven IPA is perfectly complimented by the intense, deep roasted taste of our B.O.R.I.S. Oatmeal-Imperial Stout"
676,Devil Strip,Hoppin' Frog Brewery,41,6.85,"Hoppy IPA combined with our chocolate Porter, to celebrate the best of art and culture. The perfect combination of these two elements captures the best of both worlds. It can be bigger than the sum, creating the very best experiences that life has to offer.

I’m our neck of the woods, the tree lawn is revered to as the devil strip. The devil is in the details"
680,Harpoon 100 Barrel Series #45: Directors' Cut,Harpoon Brewery,38,6.25,"Mark Edwards and Jim Perry (members of Harpoon's Board of Directors) knew that being lifelong friends with Harpoon's co-founders, Rich and Dan, would eventually pay off. This 100 Barrel Series beer is proof of that! After being unable to settle on one particular style, Mark and Jim thought it would be fun to try blending two of their favorite styles – pale ale and stout. Friendship is like brewing… always a creative collaboration.

This complex, yet drinkable beer is a blend of pale ale and stout. The aroma is a combination of hop from the pale ale with roasted notes and just a hint of smoke from the stout. The rounded body of the beer starts with sweetness from the caramel malt in the pale ale and finishes with aggressive roasted fullness of the stout. The finish is crisp and bitter, but with no astringency. This perfectly blended beer is the marriage of two excellent individual beers coming together to make one phenomenal brew. Read Less"
682,Midnight Flinke,Nimble Hill Brewing,20,5.5,"This is a blend of 70% Flinke Hügel lager and 30% of our Midnight Fuggle porter. When you just can’t decide which to have,"
683,Black And Tan,Thimble Island Brewing Company,33,5.5,"Delicious! When we first opened our brewery tasting room we only had 2 styles of beer to offer, American ale and Coffee stout. One of our early tasting room regulars, Max, began blending the twe together to make a black and tan which quickly became a favorite. The continued popularity of this blend inspired us t combine the best elements of both beers into a unique recipe of its own. Black and tan balances the sweet malts of an ale with the rich dark tones of a stout creating a harmoniously complex and drinkable brew"
684,Scorched Coffee India Pale Ale,Burning Brothers Brewing,48,6.7,"I like coffee and I like IPAs. If only there was a way that I could have both at the same time... Now I can! Scorched is our version of a black and tan, giving you the kick of cold press coffee and the punch of a hop forward IPA"
690,Black & Tan,Yuengling Brewery,12,4.6,"Yuengling Black & Tan models a traditional English Half & Half. Introduced in 1986, Yuengling produced one of the first hand-crafted draft blends to lead this style of American brewing. Black & Tan combines 60% of our popular Dark Brewed Porter and 40% of our Premium Beer to create a brew that is rich and dark in color with hints of caramel and coffee from the dark roasted malts.

Learn more: http://www.yuengling.com/black_and_ta"
698,Key Lime Slice,Playalinda Brewing Company,13,5.0,Wedge of the south 
700,Walden,Hill Farmstead Brewery,40,4.0,"A sessionable blonde ale. 4% abv. 40 IBUs. Hopped with Motueka, Amarillo "
702,Quinntiki,Avery Brewing Co.,35,16.2,"Barrel aged imperial blonde ale aged in rum barrels with pineapple, coconut, orange, "
703,Vanilla Skies,Martin House Brewing Company,28,12.0,Whiskey Barrel-Aged Imperial Blonde Ale with Va
704,Good Morning Vietnam,Wooden Robot Brewery,40,5.0,"Coffee Vanilla Blonde
Made with locally roasted Ethiopian Coffee from our friends at Enderly Coffee Roasters and rich Madagascar Vanilla Beans. The result is a unique beer that is both approachable and complex"
706,Blonde Roast,Bond Brothers Beer Company,20,6.0,blonde ale with coffee from Black & White Coffe
709,Churro Coffee Table,MadTree Brewing Company,16,4.7,"Blonde Ale with Deeper Roots coffee, lactose, cinnamon, vanilla, "
714,Libby (w/ Galaxy),Tilted Barn Brewery,40,5.0,"Dry hopped with Galaxy, this version is full of those tropical fruit flavo"
716,The Bean,Swan Brewing,15,5.5,Our coconut cof
728,Evening Joe Caramel Macchiato Coffee Blonde,Catawba Brewing Co.,25,5.7,"This specialty variant on our signature Coffee Blonde takes everything you love about Evening Joe and enhances it with a swirl of luscious salted caramel. Natural vanilla flavor and lactose sugar add a hint of sweet cream to top off this macchiato-inspired cold brew. Looks like your evening pint, but drinks like your morning cup. Here’s to ending your day as deliciously as it began — now for caramel lovers!

**Contains lactose*"
730,Coffee Table,MadTree Brewing Company,23,4.7,Coffee blonde ale with Deeper Roots coffee beans and lac
738,Three Hour Tour,Lower Left Brewing Co.,14,5.2,"Blonde Ale with toasted organic coconut, vanilla and a special blend of malts. Like liquid Coconut Cream Pie, a tropical escape "
739,Thesis Pieces,Thesis Beer Project,20,5.4,Blonde ale with peanut butte. Conta
744,Samuel Adams Utopias Aged On Cherries,Boston Beer Company,25,28.0,Bock -
747,Bourbon Barrel-Aged Troegenator,Tröegs Independent Brewing,25,10.8,Bock -
748,Bourbon Barrel German Chocolate Cake,Lickinghole Creek Craft Brewery,21,10.0,Bock -
754,Złotonator,Goldfinger Brewing Company,20,7.2,Bock -
767,The Bock Hog,Harpoon Brewery,21,9.0,Bock -
768,Maple Bourbon Barrel Aged Abominator,Warped Wing Brewery,31,10.1,Bock -
771,Decapitator 2019,Buoy Beer Company,34,10.3,Bock -
773,Afternoon Delight,Sun King Brewery,23,10.2,Bock -
774,Bourbon Aged Dominator Doppelbock,O'so Brewing Company,20,10.5,Bock -
779,Whiskey Barrel Aged Doppelbock,Prost Brewing Co. & Biergarten,20,12.0,Bock -
782,Balinator,Carton Brewing Company,8,8.0,Bock -
783,Secale,Red Rock Brewing Co.,22,8.5,Bock -
786,Dunkelbock,KC Bier Co.,25,10.0,Bock -
788,20° of Nowhere,Barrique Brewing and Blending,18,9.1,Bock -
791,Double Oak Wuüddator,New England Brewing Co.,20,9.2,Bock -
793,Confectionator,Cigar City Brewing,46,13.5,Rum Barrel-aged Dopplebock with Coconut a
799,30th Anniversary Bourbon Barrel-Aged Eisbock,Lakefront Brewery,25,11.16,Boc
803,School of Bock,Rabbit Hole Brewing,30,13.5,"School of Bock is an intensely rich, malty German lager with a smooth, sweet finish and a significant alcohol punch. Munich malt character dominates the flavor and aroma, with minimal hop presence. Read Less"
804,Schnee Boot,Heavy Seas Beer,25,13.0,Boc
805,König Eisbock,KC Bier Co.,39,10.7,Boc
809,Smooth Like Jazz,Revelry Brewing,10,14.0,Boc
810,Eisbock (Buffalo Trace Barrels),Glacier Brewhouse,35,9.1,Boc
822,Otzi Eisbock,Fat Head's Brewery,30,9.5,Boc
825,Small Batch Eisbock,Catawba Brewing Co.,30,8.6,Boc
826,Eis Nine (Small Batch),Sun King Brewery,28,9.2,Boc
827,Eissturm,MobCraft Beer,40,9.0,Boc
830,FREEZE RAY EISBOCK,Strangeways Brewing,29,10.24,Boc
831,Fire & Eisbock,Mammoth Brewing Company,27,10.0,Boc
835,C-Bock,Midnight Sun Brewing Co.,26,9.5,Dark strong eisbock. In celebration of Anchorage's 100th anniversary. Available for a limited time on draft and gro
838,Rum-Tum-Tumbly,Burnside Brewing Co.,32,9.6,"This is a strong, full-bodied malty beer brewed in the Bock tradition. The brewery chilled the bright tanks to below freezing for a number days to create an ""icy"" atmosphere prior to cold aging in spiced rum barrels for three weeks. This lager-fermented treat will warm your tummy during the cold winter months. Read Less"
839,Bulldog Bock,Alamo Beer Company,14,4.9,"Copper pour, to"
840,Maibock,Goldfinger Brewing Company,23,6.3,Bock - Hell / Maibock 
844,Dead 'N' Dead,Rogue Ales,40,7.9,Dead Guy Whiskey barrel-aged Dead Guy Ale. A deep copper maibock-style ale with notes of whisk
845,Maibock,Dovetail Brewery,30,6.3,Bock - Hell / Maibock 
846,1516,Red Oak Brewery,22,7.0,Bock - Hell / Maibock 
851,Prevernal Love,Wild East Brewing Co.,22,7.0,Bock - Hell / Maibock 
853,Mai-o-maibock,KC Bier Co.,25,10.0,Amber doppe
854,Updraft Anniversary Maibock,Ghost Hawk Brewing Company,10,7.7,Bock - Hell / Maibock 
857,Goat Destroyer,Old Irving Brewing Co.,26,7.0,Bock - Hell / Maibock 
859,Bock Sabbath,Blue Stallion Brewing Co.,27,6.66,Bock - Hell / Maibock 
860,Skool House Bock,Moontown Brewing Co.,25,7.5,Bock - Hell / Maibock 
862,Clovenbock,Wayfinder Beer,25,6.9,Bock - Hell / Maibock 
863,Peanut Butter Fudge Puff,Platform Beer Company,28,7.1,Bock - Hell / Maibock 
865,Maibock,Chuckanut Brewery,25,7.0,Bock - Hell / Maibock 
867,The Maibuck,Wallenpaupack Brewing Company,28,7.0,Bock - Hell / Maibock 
868,Maibock,NoDa Brewing Company,30,7.15,Bock - Hell / Maibock 
874,Rye In Mai Bock Yard,Friendship Brewing Company,26,8.0,"Nice German influence, begins with a wonderful malty aroma with dry flavor notes of carmel, toffee and a hint of nuttin"
876,Rolling Thunder Barrel-Aged XS Dead Guy Ale,Rogue Ales,60,9.0,Aged 10 months in Dead Guy Whiskey Barrels crafted at the Rolling Thunder Barrel Works cooperage
877,Cryptic Hymns,Burial Beer Co.,25,6.9,Foudre-A
878,Deliverance From the Other Side,Burial Beer Co.,30,6.9,Bock - Hell / Maibock 
879,Maibock Springtime Lagerbier,Haw River Farmhouse Ales,12,7.3,Bock - Hell / Maibock 
880,Rite of Spring,Combustion Brewery & Taproom,20,7.1,"Malty, lightly sweet with a dry finish that makes yo"
881,Maibock,HooDoo Brewing Co.,25,7.0,Bock - Hell / Maibock 
882,Town Musicians,Off Color Brewing,28,6.5,Bock - Hell / Maibock 
883,Lenzbock,Heater Allen Brewing,35,6.75,Bock - Hell / Maibock 
886,Glory Is Goldenbock,Burial Beer Co.,30,6.0,Bock - Hell / Maibock 
898,Bow-Chicka-Wow-Wow,Millstream Brewing,23,6.0,Bock - Single / 
902,Poop Your Pants,Perrin Brewing Co.,30,6.0,Bock - Single / 
903,Imperial Poop Your Pants,Perrin Brewing Co.,54,8.0,Bock - Single / 
904,Stagger Bock,Bonesaw Brewing Co,21,6.8,Bock - Single / 
907,Seipp's Columbia,The Conrad Seipp Brewing Co.,25,6.0,Bock - Single / 
911,There And Bock Again,Obscure Brewing Co.,21,6.5,Complex malty richness with some toasted caramel notes. Smooth mouthfeel with a cl
913,Holiday Bock,Dovetail Brewery,30,6.1,This beer is brewed for merrymaking. It's 100% barley malt lager with reddish tones from the generous addition of ca
916,Bock Betty,Friendship Brewing Company,28,5.0,This is our take on a German dark lager. Notes of roasty malt and caramelized sugars come through on this very dri
918,Monopolist,Calusa Brewing,40,6.8,Bock - Single / 
920,Reserve Trippelbock,Wagner Valley Brewing Company,17,10.0,Bock - Single / 
921,Douze - Bourbon Barrel Bock,Port Orleans Brewing Co.,24,9.0,Bock - Single / 
922,Baphomet,Revolution Brewing Company,30,6.66,"Baphomet Bock is a powerful adversary brought forth from traditional German ingredients and a long, cool fermentation time"
923,Frankville Bourbon Bock,PIVO Brewery,28,8.8,"Rich, oaky. Notes of vanilla, caramel, toffee, & coffee. Bock aged in bourbon barrels "
924,Exterior Illumination,Deviant Wolfe Brewing,22,6.7,Bock - Single / 
926,Pumpkin Pie Cream Ale,JAKs Brewing Company,13,5.5,Bock - Single / 
929,Krampus Nacht,The Black Abbey Brewing Company,20,7.0,Bock - Single / 
931,Prince Haakon Honey Bock,Earth Rider Brewery,21,7.0,Bock - Single / 
932,Bock,Daredevil Brewing Co,25,7.2,"A smooth, easy drinking German lager that emphasizes malty, toasty, rich aromas and flav"
934,Little Bock of Calm,Shovel Town Brewery,23,6.6,An award winning German-style lager - dark amber in color with a robust and balanced malt profile. Brewed with all imported German mal
936,Battlefield,Red Oak Brewery,28,6.5,Bock - Single / 
937,Ammo Bocks,Bear Island Brewing Co.,27,6.3,Bock - Single / 
938,Penalty Bocks,District 1 Brewing Company,22,6.9,Bock - Single / 
942,De Kleine Dood,Central Waters Brewing Company,12,12.2,"De Kleine Dood (formerly known as La Petite Mort) is a Belgian inspired Weizenbock brewed as a collaboration between Central Waters and The Local Option in Chicago, IL. This beer maintains the traditional characteristics of its Bavarian fore bearer, with the added complexity of Belgian ale yeast. La Petite Mort is dark amber in color; maintains a rich, full-bodied mouth-feel augmented by caramel; mild and dark fruit. Read Less"
948,The Fat King,Loaded Dice Brewery,27,8.7,Bock -
950,Tannhauser Gate,Cigar City Brewing,31,11.0,Bock -
951,COLOSSAL® IX,Port City Brewing,15,8.0,"To celebrate nine years of brewing we created Colossal® IX in 2020, a German-style Weizenbock – a style fusing characteristics of a wheat and bock beer. Mahogany in color, this malt forward beer boasts a bouquet of ripe banana, clove, and dark fruit capped off with a billowing beige head. The flavor is rich, with a bit of dark fruit, and the finish is creamy and satisfying. Read Less"
958,Word To the Weizenbock,Bosacki's Brewery,21,8.3,Bock -
960,The Fox and the Stork,Mad Fritz,25,7.5,Bock -
962,Weizenbock,Riggs Beer Company,14,7.3,Bock -
963,CaroBock,Dogfish Head Craft Brewery,25,8.0,"Bavarian-style strong, dark wheat beer aged with Carob pods and Madagascar va"
964,Doppeldunkelweizenbock,Rentsch Brewery,25,9.0,Bock -
967,Alpenglow,Fat Head's Brewery,20,8.5,Bock -
